74	105
75	118
78	132
83	145
89	156
97	167
107	177
117	185
129	187
141	185
153	177
164	165
172	152
178	137
181	121
183	105
183	89
79	85
86	81
95	82
102	83
110	86
130	83
140	77
151	73
162	73
172	76
121	97
122	108
122	120
123	132
115	138
120	139
124	140
129	138
134	136
87	100
92	96
100	96
106	101
99	103
92	103
141	97
147	91
155	90
162	92
157	96
149	97
105	153
113	152
120	150
125	151
130	149
138	151
148	151
139	160
132	165
126	166
121	165
113	161
108	154
120	155
125	156
131	155
145	152
131	155
125	157
120	156
