60	140
61	154
63	168
66	182
70	195
76	207
86	218
97	225
110	227
124	224
136	215
146	204
154	192
158	178
161	165
163	151
164	138
66	131
74	126
84	126
93	128
102	133
120	132
129	128
138	126
147	126
155	130
110	142
110	152
110	162
110	172
101	177
105	179
109	181
114	179
118	177
78	142
83	138
91	139
96	144
89	145
83	145
126	143
131	138
138	138
143	141
139	144
132	145
91	194
99	192
105	190
110	191
115	190
121	191
129	193
121	198
115	200
110	201
104	201
98	199
94	195
105	194
110	195
115	194
125	194
115	194
110	195
105	195
